fecha,tipo,fondo,cuotapartes,valor_cp,tenencia,resultado
2020-08-12T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.586217,34893.69,1066.66
2020-08-11T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,168.6465,8.301386,1400,0
2020-08-11T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.790479,53379.47,3052.84
2020-08-11T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.292994,353657.84,13657.84
2020-08-11T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.585409,34875.91,1048.88
2020-08-07T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.76905,53140.7,2814.07
2020-08-07T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.280317,353117.22,13117.22
2020-08-07T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.582218,34805.71,978.68
2020-08-05T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.734398,52395.53,2068.9
2020-08-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.273595,352590.08,12590.08
2020-08-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.58142,34770.36,943.33
2020-08-03T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.619321,51472.29,1145.66
2020-08-03T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.248893,351777.13,11777.13
2020-08-03T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.577417,34700.1,873.07
2020-07-31T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.568911,50910.59,583.96
2020-07-31T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.237304,351282.92,11282.92
2020-07-31T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.576619,34682.55,855.52
2020-07-30T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.568911,50352.97,26.34
2020-07-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.237304,350838.09,10838.09
2020-07-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.576619,34665.17,838.14
2020-07-27T03:00:00.000Z,,Superfondo Renta $,78.1132,4.471524,349.28,22.65
2020-07-27T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.206413,349965.55,9965.55
2020-07-27T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53743.503,1.57184,84476.18,1833.29
2020-07-24T03:00:00.000Z,,Superfondo Renta $,78.1132,4.471524,349.17,22.54
2020-07-24T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.201671,349763.32,9763.32
2020-07-24T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53743.503,1.57184,84433.35,1790.46
2020-07-21T03:00:00.000Z,,Superfondo Renta $,78.1132,4.407492,342.02,15.39
2020-07-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.187121,348790.35,8790.35
2020-07-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53743.503,1.569455,84305.39,1662.5
2020-07-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,53743.503,1.56631,84136.31,1493.42
2020-07-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.169383,348072.45,8072.45
2020-07-20T03:00:00.000Z,,Superfondo Renta $,78.1132,4.381581,339.17,12.54
