fecha,tipo,fondo,cuotapartes,valor_cp,tenencia,resultado
2020-10-08T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.633979,25.92,1.53
2020-10-07T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.040929,1218,-182
2020-10-07T03:00:00.000Z,,Superfondo Renta $,19.077,4.846703,92.46,1.42
2020-10-07T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.596303,26.37,1.62
2020-10-07T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.633979,25.92,1.53
2020-10-06T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.007205,1212.17,-187.83
2020-10-06T03:00:00.000Z,,Superfondo Renta $,19.077,4.848511,92.49,1.45
2020-10-06T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.599187,26.37,1.62
2020-10-06T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.633064,25.9,1.51
2020-10-05T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.976306,1206.82,-193.18
2020-10-05T03:00:00.000Z,,Superfondo Renta $,19.077,4.866538,92.83,1.79
2020-10-05T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.588257,26.34,1.59
2020-10-05T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.629433,25.84,1.45
2020-10-02T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.920716,1197.21,-202.79
2020-10-02T03:00:00.000Z,,Superfondo Renta $,19.077,4.828828,92.12,1.08
2020-10-02T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,3.0676,8.578335,26.32,1.57
2020-10-02T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,15.8638,1.628591,25.83,1.44
2020-10-01T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.920716,1197.21,-202.79
2020-10-01T03:00:00.000Z,,Superfondo Renta $,20976.546,4.828828,101292.11,4037.87
2020-10-01T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.578335,365826.31,25826.31
2020-10-01T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.628591,35825.83,1998.8
2020-09-30T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.772083,1171.5,-228.5
2020-09-30T03:00:00.000Z,,Superfondo Renta $,20976.546,4.810938,100916.85,3662.61
2020-09-30T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.57358,365623.54,25623.54
2020-09-30T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.626898,35788.59,1961.56
2020-09-28T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.746835,1167.13,-232.87
2020-09-28T03:00:00.000Z,,Superfondo Renta $,20976.546,4.798206,100649.78,3395.54
2020-09-28T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.553492,364766.87,24766.87
2020-09-28T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.623492,35713.66,1886.63
2020-09-25T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.657759,1151.72,-248.28
2020-09-25T03:00:00.000Z,,Superfondo Renta $,20976.546,4.759876,99845.74,2591.5
2020-09-25T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.547281,364501.99,24501.99
2020-09-25T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.622635,35694.81,1867.78
2020-09-24T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.530683,1129.74,-270.26
2020-09-24T03:00:00.000Z,,Superfondo Renta $,20976.546,4.781703,100303.6,3049.36
2020-09-24T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.547889,364527.93,24527.93
2020-09-24T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.621795,35676.33,1849.3
2020-09-23T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.616644,1144.61,-255.39
2020-09-23T03:00:00.000Z,,Superfondo Renta $,20976.546,4.802594,100741.82,3487.58
2020-09-23T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.545323,364418.5,24418.5
2020-09-23T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.620949,35657.72,1830.69
2020-09-22T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.528726,1129.4,-270.6
2020-09-22T03:00:00.000Z,,Superfondo Renta $,20976.546,4.785204,100377.04,3122.8
2020-09-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.538063,364108.89,24108.89
2020-09-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.620094,35638.91,1811.88
2020-09-21T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.610956,1143.62,-256.38
2020-09-21T03:00:00.000Z,,Superfondo Renta $,20976.546,4.784752,100367.55,3113.31
2020-09-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.525304,363564.78,23564.78
2020-09-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.617585,35583.72,1756.69
2020-09-18T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.361342,1100.44,-299.56
2020-09-18T03:00:00.000Z,,Superfondo Renta $,20976.546,4.779155,100250.15,2995.91
2020-09-18T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.514794,363116.58,23116.58
2020-09-18T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.61674,35565.13,1738.1
